Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
E-Mail,How frequently does your job require you to use E-mail?,88,Every day,,,,,,,,
Telephone Conversations,How often do you have telephone conversations in this job?,75,Every day,21,Once a week or more but not every day,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,64,Extremely important,32,Very important,,,,,,
Spend Time Sitting,How much does this job require sitting?,60,Continually or almost continually,32,More than half the time,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,72,More than 40 hours,24,40 hours,,,,,,
Frequency of Decision Making,"How often is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",52,Every day,32,Once a week or more but not every day,16,Once a month or more but not every week,,,,
Work With or Contribute to a Work Group or Team,How important is it to work with or contribute to a work group or team in this job?,52,Extremely important,36,Very important,,,,,,
Face-to-Face Discussions with Individuals and Within Teams,How frequently does your job require face-to-face discussions with individuals and within teams?,50,Every day,33,Once a week or more but not every day,17,Once a month or more but not every week,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,48,Very important results,24,Important results,24,Moderate results,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",40,Constant contact with others,40,Contact with others most of the time,12,Contact with others about half the time,,,,
"Determine Tasks, Priorities and Goals","How much freedom does the worker have in determining the tasks, priorities, or goals of the job?",32,A lot of freedom,56,Some freedom,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",28,A lot of freedom,52,Some freedom,20,Limited freedom,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in an environmentally controlled environment (like a warehouse with air conditioning)?,60,Every day,12,Once a week or more but not every day,20,Once a year or more but not every month,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,36,Every day,32,Once a week or more but not every day,32,Once a month or more but not every week,,,,
Written Letters and Memos,How frequently does your job require written letters and memos?,33,Every day,29,Once a week or more but not every day,33,Once a month or more but not every week,,,,
Deal With External Customers or the Public in General,How important is it to deal with external customers (as in retail sales) or the public in general (as in police work) in this job?,20,Extremely important,56,Very important,16,Important,,,,
Coordinate or Lead Others in Accomplishing Work Activities,How important is it to coordinate or lead others (not as a supervisor or team leader) in accomplishing work activities in this job?,20,Extremely important,44,Very important,32,Important,,,,
Importance of Repeating Same Tasks,"How important are continuous, repetitive, physical activities (like key entry) or mental activities (like checking entries in a ledger) to performing this job?",40,Extremely important,24,Very important,20,Important,12,Not important at all,,
Work Outcomes and Results of Other Workers,How responsible is the worker for work outcomes and results of other workers?,17,Very high responsibility,38,High responsibility,33,Moderate responsibility,13,Limited responsibility,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,13,Extremely competitive,46,Highly competitive,21,Moderately competitive,13,Slightly competitive,,
Conflict Situations,How frequently are there conflict situations the employee has to face in this job?,40,Once a week or more but not every day,28,Once a month or more but not every week,28,Once a year or more but not every month,,,,
"Dealing With Unpleasant, Angry, or Discourteous People","How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",32,Once a week or more but not every day,28,Once a month or more but not every week,32,Once a year or more but not every month,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not easily correctable?,24,Extremely serious,20,Very serious,16,Serious,24,Fairly serious,16,Not serious at all
Physical Proximity,To what extent does this job require the worker to perform job tasks physically close to other people?,17,Moderately close (at arm's length),54,"Slightly close (e.g., shared office)",25,"I work with others but not closely (e.g., private office)",,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,25,Continually or almost continually,17,More than half the time,29,Less than half the time,21,Never,,
Health and Safety of Other Workers,How much responsibility is there for the health and safety of others in this job?,16,Very high responsibility,20,High responsibility,12,Moderate responsibility,36,Limited responsibility,16,No responsibility
Public Speaking,How frequently does your job require public speaking (one speaker with an audience)?,12,Once a week or more but not every day,48,Once a month or more but not every week,28,Once a year or more but not every month,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",32,Continually or almost continually,32,Less than half the time,36,Never,,,,
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,12,Every day,20,Once a week or more but not every day,28,Once a year or more but not every month,32,Never,,
Degree of Automation,How automated is the job?,20,Highly automated,20,Moderately automated,44,Slightly automated,16,Not at all automated,,
In an Enclosed Vehicle or Operate Enclosed Equipment,How often does this job require working in a closed vehicle or operate enclosed equipment (like a car)?,16,Once a week or more but not every day,28,Once a year or more but not every month,40,Never,,,,
Spend Time Standing,How much does this job require standing?,12,More than half the time,16,About half the time,52,Less than half the time,20,Never,,
"Indoors, Not Environmentally Controlled",How often does this job require working in an environment that is not environmentally controlled (like a warehouse without air conditioning)?,12,Once a week or more but not every day,12,Once a month or more but not every week,40,Once a year or more but not every month,32,Never,,
"Outdoors, Exposed to All Weather Conditions","How often does this job require working outdoors, exposed to all weather conditions?",20,Once a month or more but not every week,28,Once a year or more but not every month,44,Never,,,,
Dealing with Violent or Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,48,Once a year or more but not every month,40,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (like in an open shed)?",12,Once a month or more but not every week,20,Once a year or more but not every month,56,Never,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How often does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hearing protection, hard hats or life-jackets?",32,Once a year or more but not every month,52,Never,,,,,,
"Exposed to Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,32,Once a year or more but not every month,52,Never,,,,,,
Spend Time Walking or Running,How much does this job require walking or running?,64,Less than half the time,32,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",28,Once a year or more but not every month,56,Never,,,,,,
Exposed to Extremely Bright or Inadequate Lighting Conditions,How often does this job require working in extremely bright or inadequate lighting conditions?,32,Once a year or more but not every month,56,Never,,,,,,
Spend Time Bending or Twisting Your Body,How much does this job require bending or twisting your body?,48,Less than half the time,48,Never,,,,,,
Exposed to Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,24,Once a year or more but not every month,64,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",42,Less than half the time,54,Never,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How often does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",80,Never,,,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",20,Once a year or more but not every month,72,Never,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,24,Once a year or more but not every month,72,Never,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),12,Important,84,Not important at all,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,84,Never,,,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,32,Less than half the time,68,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,16,"Irregular (changes with weather conditions, production demands, or contract duration)",84,"Regular (established routine, set schedule)",,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,92,Never,,,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,16,Once a year or more but not every month,80,Never,,,,,,
In an Open Vehicle or Operating Equipment,How often does this job require working in an open vehicle or operating equipment (like a tractor)?,13,Once a year or more but not every month,79,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, poles, etc.?",21,Less than half the time,79,Never,,,,,,
Exposed to Whole Body Vibration,How often does this job require exposure to whole body vibration (like operating a jackhammer or earth moving equipment)?,12,Once a year or more but not every month,88,Never,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,96,Never,,,,,,,,
